Gene_accession no.	class
tet(W/32/O)_4_AM710605	tetracycline
tet(X6)_1_MN507533	tetracycline
tmexC1_1_MK347425	tetracycline
tmexC2_1_MN175502	tetracycline
tmexC3_1_LC633285	tetracycline
tmexC4_1_CP091084	tetracycline
tmexD1_1_MK347425	tetracycline
tmexD2_1_MN175502	tetracycline
tmexD3_1_LC633285	tetracycline
tmexD4_1_CP091084	tetracycline
TOprJ1_1_MK347425	tetracycline
TOprJ2_1_MN175502	tetracycline
TOprJ3_1_LC633285	tetracycline
TOprJ4_1_CP091084	tetracycline
blaCARB-1_1_AF313471	beta-lactam
blaCARB-2_1_M69058	beta-lactam
blaCARB-3_1_S46063	beta-lactam
blaCARB-4_1_U14749	beta-lactam
blaCARB-5_1_AF135373	beta-lactam
blaCARB-6_1_AF030945	beta-lactam
blaCARB-7_1_AF409092	beta-lactam
blaCARB-8_1_AY178993	beta-lactam
blaCARB-9_1_AY248038	beta-lactam
blaCARB-10_1_EU850412	beta-lactam
blaCARB-11_1_AY008290	beta-lactam
blaCARB-12_1_D13210	beta-lactam
blaCARB-14_1_JQ364968	beta-lactam
blaCARB-16_1_HF953351	beta-lactam
blaCARB-17_1_KJ934265	beta-lactam
blaCARB-18_1_KJ934266	beta-lactam
blaCARB-19_1_KJ934267	beta-lactam
blaCARB-20_1_NG_054946	beta-lactam
blaCARB-21_1_NG_048724	beta-lactam
blaCARB-22_1_JYNG01000059	beta-lactam
blaCARB-23_1_NG_048726	beta-lactam
blaCARB-24_1_BK008907	beta-lactam
blaCARB-25_1_BK008888	beta-lactam
blaCARB-26_1_BK008904	beta-lactam
blaCARB-27_1_NG_048730	beta-lactam
blaCARB-28_1_BK008906	beta-lactam
blaCARB-29_1_BK008905	beta-lactam
blaCARB-30_1_NG_048734	beta-lactam
blaCARB-31_1_NG_048735	beta-lactam
blaCARB-32_1_NG_048736	beta-lactam
blaCARB-33_1_BK008903	beta-lactam
blaCARB-34_1_NG_048738	beta-lactam
blaCARB-35_1_BK008900	beta-lactam
blaCARB-36_1_LHBD01000022	beta-lactam
blaCARB-38_1_BK008898	beta-lactam
blaCARB-40_1_BK008889	beta-lactam
blaCARB-41_1_BK008890	beta-lactam
blaCARB-42_1_NG_048745	beta-lactam
blaCARB-43_1_NG_048746	beta-lactam
blaCARB-44_1_JTGS01000066	beta-lactam
blaCARB-45_1_JTGR01000061	beta-lactam
blaCARB-46_1_NG_048749	beta-lactam
blaCARB-47_1_NG050564	beta-lactam
blaCARB-48_1_NG050604	beta-lactam
blaCARB-49_1_KX599396	beta-lactam
blaCARB-50_1_NG_052478	beta-lactam
blaFRI-1_1_KT192551	beta-lactam
blaFRI-2_1_KX620467	beta-lactam
blaFRI-3_1_KY524440	beta-lactam
blaFRI-4_1_NG_055267	beta-lactam
blaFRI-5_1_MH208723	beta-lactam
fusB_1_AY373761	steroid antibacterial
fusB_2_JF777505	steroid antibacterial
fusC_1_KF527883	steroid antibacterial
mupA_1_X75439	pseudomonic acid
mupA_2_GU237136	pseudomonic acid
mupB_1_JQ231224	pseudomonic acid
blaLAP-1_1_EF026092	beta-lactam
blaLAP-2_1_EU159120	beta-lactam
blaAER-1_1_U14748	beta-lactam
blaBEL4_1_KX388629	beta-lactam
blaBES-1_1_AF234999	beta-lactam
blaBIC-1_1_GQ260093	beta-lactam
blaBKC_1_KP689347	beta-lactam
ARR-2_1_HQ141279	rifamycin
ARR-3_1_JF806499	rifamycin
ARR-3_4_FM207631	rifamycin
ARR-4_1_EF660562	rifamycin
ARR-5_1_EF660563	rifamycin
ARR-6_1_FM955585	rifamycin
ARR-6_2_FM897214	rifamycin
ARR-6_3_JF922883	rifamycin
ARR-7_1_FN397623	rifamycin
nimA_1_X71444	nitroimidazole
nimB_1_X71443	nitroimidazole
nimC_1_X76948	nitroimidazole
nimD_1_X76949	nitroimidazole
nimE_1_AJ244018	nitroimidazole
nimE_1_AM042593	nitroimidazole
nimF_1_AJ515145	nitroimidazole
nimH_1_KX576455	nitroimidazole
nimI_1_FJ940883	nitroimidazole
nimI_1_FJ940884	nitroimidazole
nimI_1_FJ940886	nitroimidazole
nimI_1_FJ940887	nitroimidazole
nimI_1_FJ940889	nitroimidazole
nimJ_1_NZ_JH815495	nitroimidazole
blaCMH-3_1_KX192165	beta-lactam
blaSGM-7_1_NG050614	beta-lactam
blaL_1_NG050597	beta-lactam
blaL_2_NG050596	beta-lactam
blaVHW-1_1_AF217648	beta-lactam
blaVHH-1_1_NG050334	beta-lactam
blaTER-2_1_FJ263090	beta-lactam
blaTER-1_1_FJ263091	beta-lactam
blaSST-1_1_AB008455	beta-lactam
blaSRT-1_1_AB008454	beta-lactam
blaSRT-2_1_AY524276	beta-lactam
blaSPU-1_1_GQ919044	beta-lactam
blaSPG-1_1_KP109680	beta-lactam
blaSGM-6_1_NG049988	beta-lactam
blaSGM-5_1_NG049987	beta-lactam
blaSGM-4_1_CP002798	beta-lactam
blaSGM-2_1_AP010803	beta-lactam
blaSGM-1_1_AAQG01000013	beta-lactam
blaSCO-1_1_EF063111	beta-lactam
blaPLA-6A_1_DQ251478	beta-lactam
blaPLA-3A_1_AY507663	beta-lactam
blaPLA-4A_1_AY507664	beta-lactam
blaPLA-5A_1_DQ249871	beta-lactam
blaPLA2a_1_AY307385	beta-lactam
blaPLA1a_1_AY302757	beta-lactam
blaPEDO-3_1_KP109679	beta-lactam
blaPEDO-2_1_KP109678	beta-lactam
blaPEDO-1_1_KP109677	beta-lactam
blaOXA-493_1_CP007774	beta-lactam
blaVCC-1_1_KT818596	beta-lactam
blaPAM-1_1_AB858498	beta-lactam
blaTMB-1_1_FR771847	beta-lactam
blaTMB-2_1_AB758277	beta-lactam
blaACC-4_1_GU256641	beta-lactam
blaACT-1_1_U58495	beta-lactam
blaACT-2_1_AM076977	beta-lactam
blaACT-3_1_EF125013	beta-lactam
blaACT-4_2_AJ311172	beta-lactam
blaACT-5_1_FJ237369	beta-lactam
blaACT-6_1_FJ237366	beta-lactam
blaACT-7_1_FJ237368	beta-lactam
blaACT-9_1_HQ693810	beta-lactam
blaACT-10_1_JN848330	beta-lactam
blaACT-12_1_JX440355	beta-lactam
blaACT-14_1_JX440354	beta-lactam
blaACT-15_1_JX440356	beta-lactam
blaACT-16_1_AB737978	beta-lactam
blaBEL-1_1_DQ089809	beta-lactam
blaBEL-2_1_FJ666063	beta-lactam
blaBEL-3_1_GQ202694	beta-lactam
cepA_1_L13472	beta-lactam
cepA_1_U05887	beta-lactam
cepA_6_FR688022	beta-lactam
cepA-49_1_U05886	beta-lactam
cepA-44_1_U05885	beta-lactam
cepA-29_1_U05884	beta-lactam
blaCMY-98_1_KC603538	beta-lactam
blaFONA-6_1_AJ251244	beta-lactam
blaFONA-5_1_AJ251243	beta-lactam
blaFONA-4_1_AJ251242	beta-lactam
blaFONA-3_1_AJ251241	beta-lactam
blaFONA-2_1_AJ251240	beta-lactam
blaFONA-1_1_AJ251239	beta-lactam
blaFOX-1_1_X77455	beta-lactam
blaFOX-2_1_Y10282	beta-lactam
blaFOX-3_1_Y11068	beta-lactam
blaFOX-4_1_AJ277535	beta-lactam
blaFOX-5_1_AY007369	beta-lactam
blaFOX-6_1_AY034848	beta-lactam
blaFOX-7_1_AJ703796	beta-lactam
blaFOX-8_1_HM565917	beta-lactam
blaFOX-9_1_JF896803	beta-lactam
blaFOX-10_1_JX049131	beta-lactam
blaGMB-1_1_MZ215787	beta-lactam
blaGOB-1_1_EF394442	beta-lactam
blaGOB-1_2_AF090141	beta-lactam
blaGOB-2_1_AF189296	beta-lactam
blaGOB-3_1_AF189291	beta-lactam
blaGOB-4_1_AF189293	beta-lactam
blaGOB-5_1_AF189290	beta-lactam
blaGOB-6_1_AF189292	beta-lactam
blaGOB-7_1_AF189297	beta-lactam
blaGOB-8_1_AY348327	beta-lactam
blaGOB-9_1_AY647246	beta-lactam
blaGOB-10_1_AY647247	beta-lactam
blaGOB-11_1_AY647248	beta-lactam
blaGOB-12_1_AY647249	beta-lactam
blaGOB-13_1_AY647251	beta-lactam
blaGOB-14_1_AY647252	beta-lactam
blaGOB-15_1_AY775547	beta-lactam
blaGOB-16_1_GU188443	beta-lactam
blaGOB-16_2_AY899331	beta-lactam
blaGOB-17_1_AY899332	beta-lactam
blaGOB-18_1_DQ004496	beta-lactam
blaHERA-1_1_AF311385	beta-lactam
blaHERA-2_1_AF398334	beta-lactam
blaHERA-3_1_AF398335	beta-lactam
blaHERA-4_1_AJ536088	beta-lactam
blaHERA-5_1_AJ536089	beta-lactam
blaHERA-6_1_AJ536090	beta-lactam
blaHERA-8_1_AJ536092	beta-lactam
blaIND-1_1_AF099139	beta-lactam
blaIND-2_2_AF219127	beta-lactam
blaIND-2a_4_AF219130	beta-lactam
blaIND-2b_3_EF672681	beta-lactam
blaIND-2c_1_GU186042	beta-lactam
blaIND-3_1_AF219131	beta-lactam
blaIND-4_1_AF219135	beta-lactam
blaIND-5_1_AY504627	beta-lactam
blaIND-6_1_AM087455	beta-lactam
blaIND-7_1_AB529520	beta-lactam
blaIND-8_1_GU186044	beta-lactam
blaIND-9_1_GU186045	beta-lactam
blaIND-10_1_GU206353	beta-lactam
blaIND-11_1_HM245379	beta-lactam
blaIND-12_1_HM245380	beta-lactam
blaIND-14_1_HM367709	beta-lactam
blaIND-15_1_AB563173	beta-lactam
blaLEN1_1_X04515	beta-lactam
blaLEN2_1_AY037780	beta-lactam
blaLEN3_1_AY130286	beta-lactam
blaLEN4_1_AY130287	beta-lactam
blaLEN5_1_AY633109	beta-lactam
blaLEN7_1_AJ635425	beta-lactam
blaLEN8_1_AJ635424	beta-lactam
blaLEN9_1_AJ635405	beta-lactam
blaLEN10_1_AJ635419	beta-lactam
blaLEN12_1_AJ635406	beta-lactam
blaLEN13_1_AJ635403	beta-lactam
blaLEN15_1_AF452105	beta-lactam
blaLEN16_1_AY743416	beta-lactam
blaLEN17_1_EF205593	beta-lactam
blaLEN18_1_AM850908	beta-lactam
blaLEN19_1_AM850909	beta-lactam
blaLEN20_1_AM850910	beta-lactam
blaLEN21_1_AM850911	beta-lactam
blaLEN22_1_AM850912	beta-lactam
blaLEN23_1_AM850913	beta-lactam
blaLEN24_1_AM850914	beta-lactam
blaLEN25_1_HQ709169	beta-lactam
blaLEN26_1_JQ067123	beta-lactam
blaMAL-1_1_AJ277209	beta-lactam
blaMAL-1_2_AJ609506	beta-lactam
blaMIR-1_1_M37839	beta-lactam
blaMIR-2_1_AY227752	beta-lactam
blaMIR-3_1_AY743435	beta-lactam
blaMIR-4_1_EF417572	beta-lactam
blaMIR-5_1_FJ237367	beta-lactam
blaMIR-6_1_JQ664733	beta-lactam
blaMOR_1_Y10283	beta-lactam
blaMOR-2_1_AY235804	beta-lactam
blaMOX-1_1_D13304	beta-lactam
blaMOX-2_1_AJ276453	beta-lactam
blaMOX-3_1_EU515248	beta-lactam
blaMOX-4_1_FJ262599	beta-lactam
blaMOX-5_1_GQ152600	beta-lactam
blaMOX-6_1_GQ152601	beta-lactam
blaMOX-7_1_GQ152602	beta-lactam
blaOCH-2_1_AJ295340	beta-lactam
blaOCH-3_1_AJ295341	beta-lactam
blaOCH-4_1_AJ295342	beta-lactam
blaOCH-5_1_AJ295343	beta-lactam
blaOCH-6_1_AJ295344	beta-lactam
blaOCH-7_1_AJ295345	beta-lactam
blaOCH-8_1_DQ489307	beta-lactam
blaOKP-A-1_1_AM051138	beta-lactam
blaOKP-A-2_1_AM051139	beta-lactam
blaOKP-A-3_1_AM051140	beta-lactam
blaOKP-A-4_1_AM051142	beta-lactam
blaOKP-A-5_1_AM051143	beta-lactam
blaOKP-A-6_1_AM051144	beta-lactam
blaOKP-A-7_1_AM051145	beta-lactam
blaOKP-A-8_1_AM051147	beta-lactam
blaOKP-A-9_1_AM051148	beta-lactam
blaOKP-A-10_1_AM051149	beta-lactam
blaOKP-A-11_1_AM850915	beta-lactam
blaOKP-A-12_1_AM850915	beta-lactam
blaOKP-A-13_1_FJ534513	beta-lactam
blaOKP-A-14_1_FJ534512	beta-lactam
blaOKP-A-15_1_FJ755841	beta-lactam
blaOKP-A-16_1_FJ755840	beta-lactam
blaOKP-B-1_1_AM051150	beta-lactam
blaOKP-B-2_1_AM051151	beta-lactam
blaOKP-B-3_1_AM051152	beta-lactam
blaOKP-B-4_1_AM051153	beta-lactam
blaOKP-B-5_1_AY512506	beta-lactam
blaOKP-B-6_1_AY850171	beta-lactam
blaOKP-B-7_1_AM051156	beta-lactam
blaOKP-B-8_1_AM051157	beta-lactam
blaOKP-B-9_1_AM051159	beta-lactam
blaOKP-B-10_1_AM051160	beta-lactam
blaOKP-B-11_1_AM051161	beta-lactam
blaOKP-B-12_1_AJ635420	beta-lactam
blaOKP-B-13_1_AY825330	beta-lactam
blaOKP-B-14_1_DQ995288	beta-lactam
blaOKP-B-15_1_AM850917	beta-lactam
blaOKP-B-16_1_AM850918	beta-lactam
blaOKP-B-17_1_AM850919	beta-lactam
blaOKP-B-18_1_AM850920	beta-lactam
blaOKP-B-19_1_AM850921	beta-lactam
blaOKP-B-20_1_AM850922	beta-lactam
blaOXA-SHE_1_AY066004	beta-lactam
blaOXA-13_1_AF043558	beta-lactam
blaOXY-1-1_1_Z30177	beta-lactam
blaOXY-1-2_2_AJ871864	beta-lactam
blaOXY-1-3_3_AY077482	beta-lactam
blaOXY-1-4_4_AY077483	beta-lactam
blaOXY-1-5_5_AY077486	beta-lactam
blaOXY-1-6_6_Y17715	beta-lactam
blaOXY-1-7_7_M27459	beta-lactam
blaOXY-2-1_1_AJ871866	beta-lactam
blaOXY-2-2_2_AJ871867	beta-lactam
blaOXY-2-3_3_AY077488	beta-lactam
blaOXY-2-4_4_Y17714	beta-lactam
blaOXY-2-5_5_AY077487	beta-lactam
blaOXY-2-6_6_AY077485	beta-lactam
blaOXY-2-7_7_Z49084	beta-lactam
blaOXY-2-8_8_AY055205	beta-lactam
blaOXY-2-9_9_FJ785625	beta-lactam
blaOXY-2-10_10_FJ785626	beta-lactam
blaOXY-3-1_1_AF491278	beta-lactam
blaOXY-4-1_1_AY077481	beta-lactam
blaOXY-5-1_1_AJ871868	beta-lactam
blaOXY-5-2_2_AJ871871	beta-lactam
blaOXY-6-1_1_AJ871873	beta-lactam
blaOXY-6-2_2_AJ871875	beta-lactam
blaOXY-6-3_3_AJ871876	beta-lactam
blaOXY-6-4_4_AJ871877	beta-lactam
blaPAO_1_AY083595	beta-lactam
blaPAO_2_FJ666065	beta-lactam
blaPAO_3_FJ666073	beta-lactam
blaPAO_4_AY083592	beta-lactam
blaPER-1_1_GU944725	beta-lactam
blaPER-2_1_X93314	beta-lactam
blaPER-3_1_AY740681	beta-lactam
blaPER-4_1_EU748544	beta-lactam
blaPER-5_1_FJ627180	beta-lactam
blaPER-6_1_GQ396303	beta-lactam
blaPER-7_1_HQ713678	beta-lactam
blaRAHN-1_1_GU645205	beta-lactam
blaRAHN-1_2_AF338038	beta-lactam
blaRAHN-2_2_HM114350	beta-lactam
blaROB-1_1_DQ840517	beta-lactam
blaROB-1_2_AF022114	beta-lactam
blaVEB-1_1_HM370393	beta-lactam
blaVEB-1_3_DQ393569	beta-lactam
blaVEB-1_4_AF324834	beta-lactam
blaVEB-2_1_AY027870	beta-lactam
blaVEB-3_1_AY536519	beta-lactam
blaVEB-4_1_EF136375	beta-lactam
blaVEB-5_1_EF420108	beta-lactam
blaVEB-6_1_EU259884	beta-lactam
blaVEB-7_1_FJ825622	beta-lactam
blaVEB-8_1_JX679208	beta-lactam
ampH_1_AJ276031	beta-lactam
ampH_2_HQ586946	beta-lactam
blaSMB-1_1_AB636283	beta-lactam
POM-1_1_GU002295	beta-lactam
blaCFE-1_1_AB107899	beta-lactam
blaLAT-1_1_X78117	beta-lactam
blaNPS_1_AY027589	beta-lactam
blaLCR-1_1_X56809	beta-lactam
blaNMC-A_1_AJ536087	beta-lactam
blaFAR-1_1_AF024601	beta-lactam
blaKHM-1_1_AB364006	beta-lactam
blaCEPH-A3_1_AY112998	beta-lactam
blaSIM-1_1_JF731030	beta-lactam
blaGIM-1_1_JF414726	beta-lactam
blaSPM-1_1_AY341249	beta-lactam
blaSFO-1_1_AB003148	beta-lactam
blaTLA-1_1_AF148067	beta-lactam
hugA_1_AF324468	beta-lactam
blaDIM-1_1_GU323019	beta-lactam
blaERP-1_1_AY077733	beta-lactam
blaPME-1_1_HQ541434	beta-lactam
blaJOHN-1_1_AY028464	beta-lactam
blaMUS-1_1_AF441286	beta-lactam
blaCGB-1_1_EF672680	beta-lactam
blaEBR-1_1_AF416700	beta-lactam
blaTUS-1_1_AF441287	beta-lactam
blaACI-1_1_AJ007350	beta-lactam
blaAST-1_1_AF279904	beta-lactam
blaCKO-1_1_AF477396	beta-lactam
blaCME-1_1_AJ006275	beta-lactam
blaDES-1_1_AF426161	beta-lactam
blaLUT-1_1_AY695112	beta-lactam
blaSED1_1_AF321608	beta-lactam
penA_1_AF515059	beta-lactam
imiH_1_AJ548797	beta-lactam
imiS_1_Y10415	beta-lactam
blaBIL-1_1_X74512	beta-lactam
blaCMG_1_AY265892	beta-lactam
blaTRU_1_EU046614	beta-lactam
blaZEG-1_1_AY265891	beta-lactam
ampS_1_X80276	beta-lactam
blaADC-25_1_EF016355	beta-lactam
blaA_1_DQ424965	beta-lactam
blaA_2_AY954728	beta-lactam
blaB-2_1_AF189300	beta-lactam
blaB-3_1_AF189301	beta-lactam
blaB-3_2_AF189299	beta-lactam
blaB-5_1_AF189303	beta-lactam
blaB-6_1_AF189302	beta-lactam
blaB-7_1_AF189304	beta-lactam
blaB-8_1_AF189305	beta-lactam
blaB-9_1_AY348324	beta-lactam
blaB-10_1_AY348325	beta-lactam
blaB-11_1_AY348326	beta-lactam
blaB-12_1_EF595958	beta-lactam
blaB-13_1_EF595959	beta-lactam
blaB-14_1_JN635697	beta-lactam
blaL1_3_EF126059	beta-lactam
cfiA1_1_AB087225	beta-lactam
cfiA2_1_AB087226	beta-lactam
cfiA3_1_AB087228	beta-lactam
cfiA4_1_AB087229	beta-lactam
cfiA6_1_AB087231	beta-lactam
cfiA8_1_AB087233	beta-lactam
cfiA9_1_AB087234	beta-lactam
cfiA10_1_AB087227	beta-lactam
cfiA13_1_FM200787	beta-lactam
cfiA14_1_FM200789	beta-lactam
cfxA_1_U38243	beta-lactam
cfxA2_1_AF504914	beta-lactam
cfxA3_1_AF472622	beta-lactam
cfxA4_1_AY769933	beta-lactam
cfxA5_1_AY769934	beta-lactam
cfxA6_1_GQ342996	beta-lactam
cphA1_2_AY261377	beta-lactam
cphA1_1_AY261379	beta-lactam
cphA1_3_AY261378	beta-lactam
cphA1_4_AY261376	beta-lactam
cphA1_7_X57102	beta-lactam
cphA2_6_AHU60294	beta-lactam
cphA4_1_AY227050	beta-lactam
cphA5_1_AY227051	beta-lactam
cphA6_1_AY227052	beta-lactam
cphA7_1_AY227053	beta-lactam
cphA8_1_AY261375	beta-lactam
blaIMP-4_1_DQ307573	beta-lactam
blaGES-1_1_HQ170511	beta-lactam
blaGES-2_1_AF326355	beta-lactam
blaGES-3_1_AB113580	beta-lactam
blaGES-4_1_AB116723	beta-lactam
blaGES-5_1_DQ236171	beta-lactam
blaGES-6_1_AY494718	beta-lactam
blaGES-7_1_HM453325	beta-lactam
blaGES-8_1_AF329699	beta-lactam
blaGES-9_1_AY920928	beta-lactam
blaGES-10_1_FJ820124	beta-lactam
blaGES-11_1_FJ854362	beta-lactam
blaGES-12_1_FN554543	beta-lactam
blaGES-13_1_GU169702	beta-lactam
blaGES-14_1_GU207844	beta-lactam
blaGES-15_1_GU208678	beta-lactam
blaGES-16_1_HM173356	beta-lactam
blaGES-17_1_HQ874631	beta-lactam
blaGES-18_1_JQ028729	beta-lactam
blaGES-19_1_JN596280	beta-lactam
blaGES-20_1_JN596280	beta-lactam
blaGES-21_1_JQ772478	beta-lactam
blaGES-22_1_JX023441	beta-lactam
blaGES-23_1_KF179354	beta-lactam
blaIMI-1_1_U50278	beta-lactam
blaIMI-2_1_DQ173429	beta-lactam
blaIMI-3_1_GU015024	beta-lactam
blaSFC-1_1_AY354402	beta-lactam
blaSME-1_1_Z28968	beta-lactam
blaSME-2_1_AF275256	beta-lactam
blaSME-3_1_AY584237	beta-lactam
blaBRO-1_1_Z54180	beta-lactam
blaBRO-2_1_Z54181	beta-lactam
blaBKC-1_1_KP689347	beta-lactam
blaIMI-5_1_KX858825	beta-lactam
ARR-8_1_KC199968	rifamycin
blaIMI-4_1_NG_049167	beta-lactam
aac(6')Ib-cr_3_EF210035	aminoglycoside, quinolone
Cfr(D)_1_NG_067192	amphenicol
Cfr(E)_1_NG_070225	amphenicol
grdA_1_QJX10702	aminoglycoside
Gar_1_NG_070891	aminoglycoside
fosL1_1_MN464149	fosfomycin
erm(50)_1_LC473083	macrolide
qnrB89_1_MT544491	quinolone
catT_1_MW030510	amphenicol
qnrB91_1_AP023150	quinolone
qnrB90_1_MG182074	quinolone
mcr-1.26_1_NG_068217	polymyxin
mcr-1.27_1_NG_068218	polymyxin
OqxA_1_EU370913	amphenicol, quinolone, folate pathway antagonist
OqxB_1_EU370913	amphenicol, quinolone, folate pathway antagonist
bleO_1_AF051917	glycopeptide
NarA_1_MN590304	ionophores
NarB_1_MN590304	ionophores
blaBIM-1_1_CP016446	beta-lactam
blaBIC-2_1_OR143113	beta-lactam
blaIMP-1b_1_MK388919	beta-lactam
mcr-1.15_1_MG763897	polymyxin
mcr-1.16_1_MK568462	polymyxin
mcr-1.17_1_MK568463	polymyxin
mcr-1.18_1_PGLM01000025	polymyxin
mcr-1.19_1_MK490674	polymyxin
mcr-1.20_1_LS398440	polymyxin
mcr-1.21_1_MK965883	polymyxin
mcr-1.22_1_MN017134	polymyxin
mcr-1.23_1_MN873697	polymyxin
mcr-1.24_1_MN879257	polymyxin
mcr-1.25_1_MN879259	polymyxin
mcr-1.26_1_JAAGSA010000042	polymyxin
mcr-1.27_1_JAAGSB010000042	polymyxin
mcr-1.28_1_MT770924	polymyxin
mcr-1.31_1_MW940640	polymyxin
mcr-1.32_1_MF084991	polymyxin
mcr-1.33_1_OL624718	polymyxin
mcr-1.34_1_MZ450868	polymyxin
mcr-1.35_1_ON262566	polymyxin
mcr-1.36_1_OR438752	polymyxin
mcr-1.37_1_OR879175	polymyxin
mcr-2.3_1_NQCO02000001	polymyxin
mcr-2.8_1_MZ520325	polymyxin
mcr-3.26_1_MH371139	polymyxin
mcr-3.27_1_MH131694	polymyxin
mcr-3.28_1_MH522717	polymyxin
mcr-3.29_1_MK521074	polymyxin
mcr-3.30_1_MH536730	polymyxin
mcr-3.33_1_MT791039	polymyxin
mcr-3.34_1_MT791040	polymyxin
mcr-3.35_1_MT809044	polymyxin
mcr-3.36_1_MT809045	polymyxin
mcr-3.37_1_MT809047	polymyxin
mcr-3.38_1_MT787344	polymyxin
mcr-3.39_1_MT872721	polymyxin
mcr-3.40_1_MT872722	polymyxin
mcr-3.41_1_JACEGL010000001	polymyxin
mcr-3.42_1_OP297669	polymyxin
mcr-4.7_1_CP061706	polymyxin
mcr-4.8_1_OR438749	polymyxin
mcr-5.3_1_MG886287	polymyxin
mcr-5.4_1_MK965519	polymyxin
mcr-5.5_1_OR438751	polymyxin
mcr-8.2_1_MH638291	polymyxin
mcr-8.3_1_MH598530	polymyxin
mcr-8.4_1_MH791448	polymyxin
mcr-8.5_1_MN836537	polymyxin
mcr-10.2_1_JAGFWW010000009	polymyxin
mcr-10.3_1_JAGFWV010000051	polymyxin
mcr-10.4_1_JAGFWU010000059	polymyxin
mcr-10.5_1_OM638112	polymyxin
blaCAM-1_1_MG430339	beta-lactam
blaNDM-58_1_OR081828	beta-lactam
blaNDM-60_1_OR139852	beta-lactam
blaOXA-438_1_KP410734	beta-lactam
blaOXA-547_2_ON925022	beta-lactam
blaKPC-228_1_PP860922	beta-lactam
blaCMY-192_1_PP693800	beta-lactam
blaOXA-1186_1_PQ186078	beta-lactam
tet(39)_2_CP044518	tetracyclines
blaFRI-6_1_MK248729	beta-lactam
blaFRI-7_1_AP019534	beta-lactam
blaFRI-8_1_OK264410	beta-lactam
blaFRI-9_1_AP038771	beta-lactam
blaFRI-10_1_MW349709	beta-lactam
blaFRI-11_1_OP501653	beta-lactam
blaFRI-12_1_OP142442	beta-lactam
blaFLC-1_1_NG_065869	beta-lactam
CmlA10_1_AJ867810	phenicol
CmlA4_1_NG_047651	phenicol
CmlA5_1_NG_047653	phenicol
CmlA6_1_NG_047655	phenicol
CmlA7_1_JQ639792	phenicol
CmlA8_1_NG_051879	phenicol
CmlA9_1_JN406319	phenicol
CmlA2_1_NG_047657	phenicol
FloR_4_CP136914	phenicol
FloR_3_CP029595	phenicol
FloR_5_CP030849	phenicol
FloR_6_CP131474	phenicol
FloR_7_CP125947	phenicol
FloR_8_KU548456	phenicol
FloR_9_CP042967	phenicol
FloR_10_CP020121	phenicol
FloR_11_MG879028	phenicol
FloR_12_KX364409	phenicol
